Dealer 1st Card,Current Money,Player Totals,Dealer Totals,Player 1st Card,Player 2nd Card,Dealer 2nd Card,Hit Count,Bet,Outcome,Double,Split,"Hand (1st,2nd / Dealer's)",Player Hand,Overall Win,Overall Loss,Win Only,Loss Only,Bust,Dealer Bust,Blackjack,Push,Initial Hand,Win Only %,Overall Win %,Overall Loss %,Dealer Bust %,Loss Only %,Bust %,Blackjack %,Push %
2,80444,80444,80444,80444,80444,80444,80444,80444,80444,80444,80444,80444,80444,39381,35991,9468,33375,2616,26398,3515,5072,80444,11.77%,48.95%,44.74%,32.82%,41.49%,3.25%,4.37%,6.31%
3,80224,80224,80224,80224,80224,80224,80224,80224,80224,80224,80224,80224,80224,40465,34937,9118,32433,2504,27818,3529,4822,80224,11.37%,50.44%,43.55%,34.68%,40.43%,3.12%,4.40%,6.01%
4,80777,80777,80777,80777,80777,80777,80777,80777,80777,80777,80777,80777,80777,42285,34246,8067,34246,0,30487,3731,4246,80777,9.99%,52.35%,42.40%,37.74%,42.40%,0.00%,4.62%,5.26%
5,80699,80699,80699,80699,80699,80699,80699,80699,80699,80699,80699,80699,80699,43361,33323,7556,33323,0,32165,3640,4015,80699,9.36%,53.73%,41.29%,39.86%,41.29%,0.00%,4.51%,4.98%
6,80631,80631,80631,80631,80631,80631,80631,80631,80631,80631,80631,80631,80631,44514,32126,8250,32126,0,32627,3637,3991,80631,10.23%,55.21%,39.84%,40.46%,39.84%,0.00%,4.51%,4.95%
7,79405,79405,79405,79405,79405,79405,79405,79405,79405,79405,79405,79405,79405,39637,31933,21326,11503,20430,14574,3737,7835,79405,26.86%,49.92%,40.22%,18.35%,14.49%,25.73%,4.71%,9.87%
8,78236,78236,78236,78236,78236,78236,78236,78236,78236,78236,78236,78236,78236,35937,34411,19090,13945,20466,13156,3691,7888,78236,24.40%,45.93%,43.98%,16.82%,17.82%,26.16%,4.72%,10.08%
9,77826,77826,77826,77826,77826,77826,77826,77826,77826,77826,77826,77826,77826,31850,37699,16154,16874,20825,12055,3641,8277,77826,20.76%,40.92%,48.44%,15.49%,21.68%,26.76%,4.68%,10.64%
10,312088,312088,312088,312088,312088,312088,312088,312088,312088,312088,312088,312088,312088,107303,167946,48993,82683,85263,44845,13465,36839,312088,15.70%,34.38%,53.81%,14.37%,26.49%,27.32%,4.31%,11.80%
11,78103,78103,78103,78103,78103,78103,78103,78103,78103,78103,78103,78103,78103,21533,47221,12709,25982,21239,6214,2610,9349,78103,16.27%,27.57%,60.46%,7.96%,33.27%,27.19%,3.34%,11.97%
