"Hand (1st,2nd / Dealer's)",Current Money,Player Totals,Dealer Totals,Player 1st Card,Player 2nd Card,Dealer 1st Card,Dealer 2nd Card,Hit Count,Bet,Outcome,Double,Split,Player Hand,Overall Win,Overall Loss,Win Only,Loss Only,Bust,Dealer Bust,Blackjack,Push,Win Only %,Overall Win %,Overall Loss %,Dealer Bust %,Loss Only %,Bust %,Blackjack %,Push %
"10,10 / 10",29053,29053,29053,29053,29053,29053,29053,29053,29053,29053,29053,29053,29053,15824,3272,9690,3272,0,6134,0,9957,33.35%,54.47%,11.26%,21.11%,11.26%,0.00%,0.00%,34.27%
"10,10 / 11",7389,7389,7389,7389,7389,7389,7389,7389,7389,7389,7389,7389,7389,3771,2647,2905,2647,0,866,0,971,39.32%,51.04%,35.82%,11.72%,35.82%,0.00%,0.00%,13.14%
"10,10 / 2",7395,7395,7395,7395,7395,7395,7395,7395,7395,7395,7395,7395,7395,5553,881,2956,881,0,2597,0,961,39.97%,75.09%,11.91%,35.12%,11.91%,0.00%,0.00%,13.00%
"10,10 / 3",7251,7251,7251,7251,7251,7251,7251,7251,7251,7251,7251,7251,7251,5560,838,2869,838,0,2691,0,853,39.57%,76.68%,11.56%,37.11%,11.56%,0.00%,0.00%,11.76%
"10,10 / 4",7339,7339,7339,7339,7339,7339,7339,7339,7339,7339,7339,7339,7339,5687,807,2762,807,0,2925,0,845,37.63%,77.49%,11.00%,39.86%,11.00%,0.00%,0.00%,11.51%
"10,10 / 5",7096,7096,7096,7096,7096,7096,7096,7096,7096,7096,7096,7096,7096,5535,759,2583,759,0,2952,0,802,36.40%,78.00%,10.70%,41.60%,10.70%,0.00%,0.00%,11.30%
"10,10 / 6",7316,7316,7316,7316,7316,7316,7316,7316,7316,7316,7316,7316,7316,5939,648,2791,648,0,3148,0,729,38.15%,81.18%,8.86%,43.03%,8.86%,0.00%,0.00%,9.96%
"10,10 / 7",7248,7248,7248,7248,7248,7248,7248,7248,7248,7248,7248,7248,7248,6066,569,4177,569,0,1889,0,613,57.63%,83.69%,7.85%,26.06%,7.85%,0.00%,0.00%,8.46%
"10,10 / 8",7319,7319,7319,7319,7319,7319,7319,7319,7319,7319,7319,7319,7319,6319,472,4540,472,0,1779,0,528,62.03%,86.34%,6.45%,24.31%,6.45%,0.00%,0.00%,7.21%
"10,10 / 9",7240,7240,7240,7240,7240,7240,7240,7240,7240,7240,7240,7240,7240,5961,433,4288,433,0,1673,0,846,59.23%,82.33%,5.98%,23.11%,5.98%,0.00%,0.00%,11.69%
"10,11 / 10",14562,14562,14562,14562,14562,14562,14562,14562,14562,14562,14562,14562,14562,13465,0,0,0,0,0,13465,1097,0.00%,92.47%,0.00%,0.00%,0.00%,0.00%,92.47%,7.53%
"10,11 / 11",3718,3718,3718,3718,3718,3718,3718,3718,3718,3718,3718,3718,3718,2610,0,0,0,0,0,2610,1108,0.00%,70.20%,0.00%,0.00%,0.00%,0.00%,70.20%,29.80%
"10,11 / 2",3515,3515,3515,3515,3515,3515,3515,3515,3515,3515,3515,3515,3515,3515,0,0,0,0,0,3515,0,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%
"10,11 / 3",3529,3529,3529,3529,3529,3529,3529,3529,3529,3529,3529,3529,3529,3529,0,0,0,0,0,3529,0,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%
"10,11 / 4",3731,3731,3731,3731,3731,3731,3731,3731,3731,3731,3731,3731,3731,3731,0,0,0,0,0,3731,0,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%
"10,11 / 5",3640,3640,3640,3640,3640,3640,3640,3640,3640,3640,3640,3640,3640,3640,0,0,0,0,0,3640,0,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%
"10,11 / 6",3637,3637,3637,3637,3637,3637,3637,3637,3637,3637,3637,3637,3637,3637,0,0,0,0,0,3637,0,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%
"10,11 / 7",3737,3737,3737,3737,3737,3737,3737,3737,3737,3737,3737,3737,3737,3737,0,0,0,0,0,3737,0,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%
"10,11 / 8",3691,3691,3691,3691,3691,3691,3691,3691,3691,3691,3691,3691,3691,3691,0,0,0,0,0,3691,0,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%
"10,11 / 9",3641,3641,3641,3641,3641,3641,3641,3641,3641,3641,3641,3641,3641,3641,0,0,0,0,0,3641,0,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%
"11,11 / 10",3612,3612,3612,3612,3612,3612,3612,3612,3612,3612,3612,3612,3612,1713,1611,919,1611,0,794,0,288,25.44%,47.43%,44.60%,21.98%,44.60%,0.00%,0.00%,7.97%
"11,11 / 11",858,858,858,858,858,858,858,858,858,858,858,858,858,285,450,197,450,0,88,0,123,22.96%,33.22%,52.45%,10.26%,52.45%,0.00%,0.00%,14.34%
"11,11 / 2",940,940,940,940,940,940,940,940,940,940,940,940,940,536,317,200,317,0,336,0,87,21.28%,57.02%,33.72%,35.74%,33.72%,0.00%,0.00%,9.26%
"11,11 / 3",902,902,902,902,902,902,902,902,902,902,902,902,902,538,299,188,299,0,350,0,65,20.84%,59.65%,33.15%,38.80%,33.15%,0.00%,0.00%,7.21%
"11,11 / 4",934,934,934,934,934,934,934,934,934,934,934,934,934,552,307,204,307,0,348,0,75,21.84%,59.10%,32.87%,37.26%,32.87%,0.00%,0.00%,8.03%
"11,11 / 5",926,926,926,926,926,926,926,926,926,926,926,926,926,565,310,179,310,0,386,0,51,19.33%,61.02%,33.48%,41.68%,33.48%,0.00%,0.00%,5.51%
